;ncm;descricao;alq_ipi;aliq_ipi
2;01.01;Cavalos, asininos e muares, vivos.;;
3;0101.2;- Cavalos:;;
4;0101.21.00;--Reprodutores de raça pura;NT;NT
5;0101.29.00;--Outros;NT;NT
6;0101.30.00;- Asininos;NT;NT
7;0101.90.00;- Outros;NT;NT
9;01.02;Animais vivos da espécie bovina.;;
10;0102.2;- Bovinos domésticos:;;
11;0102.21;--Reprodutores de raça pura;;
12;0102.21.10;Prenhes ou com cria ao pé;NT;NT
13;0102.21.90;Outros;NT;NT
14;0102.29;--Outros;;
15;0102.29.1;Para reprodução;;
16;0102.29.11;Prenhes ou com cria ao pé;NT;NT
17;0102.29.19;Outros;NT;NT
18;0102.29.90;Outros;NT;NT
19;0102.3;- Búfalos:;;
20;0102.31;--Reprodutores de raça pura;;
21;0102.31.10;Prenhes ou com cria ao pé;NT;NT
22;0102.31.90;Outros;NT;NT
23;0102.39;--Outros;;
24;0102.39.1;Para reprodução;;
25;0102.39.11;Prenhes ou com cria ao pé;NT;NT
26;0102.39.19;Outros;NT;NT
27;0102.39.90;Outros;NT;NT
28;0102.90.00;- Outros;NT;NT
30;01.03;Animais vivos da espécie suína.;;
31;0103.10.00;- Reprodutores de raça pura;NT;NT
32;0103.9;- Outros:;;
33;0103.91.00;--De peso inferior a 50 kg;NT;NT
34;0103.92.00;--De peso igual ou superior a 50 kg;NT;NT
36;01.04;Animais vivos das espécies ovina e caprina.;;
37;0104.10;- Ovinos;;
38;0104.10.1;Reprodutores de raça pura;;
39;0104.10.11;Prenhes ou com cria ao pé;NT;NT
40;0104.10.19;Outros;NT;NT
41;0104.10.90;Outros;NT;NT
42;0104.20;- Caprinos;;
43;0104.20.10;Reprodutores de raça pura;NT;NT
44;0104.20.90;Outros;NT;NT
46;01.05;"Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola(pintadas), das espécies domésticas, vivos.";;
47;0105.1;- De peso não superior a 185 g:;;
48;0105.11;--Aves da espécie Gallus domesticus;;
49;0105.11.10;De linhas puras ou híbridas, para reprodução;NT;NT
50;0105.11.90;Outros;NT;NT
51;0105.12.00;--Peruas e perus;NT;NT
52;0105.13.00;--Patos;NT;NT
53;0105.14.00;--Gansos;NT;NT
54;0105.15.00;--Galinhas-d'angola (pintadas);NT;NT
55;0105.9;- Outros:;;
56;0105.94.00;--Aves da espécie Gallus domesticus;NT;NT
57;0105.99.00;--Outros;NT;NT
59;01.06;Outros animais vivos.;;
60;0106.1;- Mamíferos:;;
61;0106.11.00;--Primatas;NT;NT
62;0106.12.00;"--Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) edugongos (mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas(mamíferos da subordem Pinnipedia)";NT;NT
63;0106.13.00;--Camelos e outros camelídeos (Camelidae);NT;NT
64;0106.14.00;--Coelhos e lebres;NT;NT
65;0106.19.00;--Outros;NT;NT
66;0106.20.00;- Répteis (incluindo as serpentes e as tartarugas marinhas);NT;NT
67;0106.3;- Aves:;;
68;0106.31.00;--Aves de rapina;NT;NT
69;0106.32.00;--Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas);NT;NT
70;0106.33;"--Avestruzes; emus (Dromaius novaehollandiae)";;
71;0106.33.10;Avestruzes (Struthio camelus), para reprodução;NT;NT
72;0106.33.90;Outros;NT;NT
73;0106.39.00;--Outras;NT;NT
74;0106.4;- Insetos:;;
75;0106.41.00;--Abelhas;NT;NT
76;0106.49.00;--Outros;NT;NT
77;0106.90.00;- Outros;NT;NT
78;02.01;Carnes de animais da espécie bovina, frescas ou refrigeradas.;;
79;0201.10.00;- Carcaças e meias-carcaças;0.0;0.0
80;0201.20;- Outras peças não desossadas;;
81;0201.20.10;Quartos dianteiros;0.0;0.0
82;0201.20.20;Quartos traseiros;0.0;0.0
83;0201.20.90;Outras;0.0;0.0
84;0201.30.00;- Desossadas;0.0;0.0
86;02.02;Carnes de animais da espécie bovina, congeladas.;;
87;0202.10.00;- Carcaças e meias-carcaças;0.0;0.0
88;0202.20;- Outras peças não desossadas;;
89;0202.20.10;Quartos dianteiros;0.0;0.0
90;0202.20.20;Quartos traseiros;0.0;0.0
91;0202.20.90;Outras;0.0;0.0
92;0202.30.00;- Desossadas;0.0;0.0
94;02.03;Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.;;
95;0203.1;- Frescas ou refrigeradas:;;
96;0203.11.00;--Carcaças e meias-carcaças;0.0;0.0
97;0203.12.00;--Pernas, pás e respectivos pedaços, não desossados;0.0;0.0
98;0203.19.00;--Outras;0.0;0.0
99;0203.2;- Congeladas:;;
100;0203.21.00;--Carcaças e meias-carcaças;0.0;0.0
101;0203.22.00;--Pernas, pás e respectivos pedaços, não desossados;0.0;0.0
102;0203.29.00;--Outras;0.0;0.0
104;02.04;"Carnesdeanimaisdasespéciesovinaoucaprina,frescas,refrigeradasoucongeladas.";;
105;0204.10.00;- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas;0.0;0.0
106;0204.2;- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:;;
107;0204.21.00;--Carcaças e meias-carcaças;0.0;0.0
108;0204.22.00;--Outras peças não desossadas;0.0;0.0
109;0204.23.00;--Desossadas;0.0;0.0
110;0204.30.00;- Carcaças e meias-carcaças de cordeiro, congeladas;0.0;0.0
111;0204.4;- Outras carnes de animais da espécie ovina, congeladas:;;
112;0204.41.00;--Carcaças e meias-carcaças;0.0;0.0
113;0204.42.00;--Outras peças não desossadas;0.0;0.0
114;0204.43.00;--Desossadas;0.0;0.0
115;0204.50.00;- Carnes de animais da espécie caprina;0.0;0.0
117;0205.00.00;"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas oucongeladas.";0.0;0.0
119;02.06;"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar,asinina e muar, frescas, refrigeradas ou congeladas.";;
120;0206.10.00;- Da espécie bovina, frescas ou refrigeradas;0.0;0.0
121;0206.2;- Da espécie bovina, congeladas:;;
122;0206.21.00;--Línguas;0.0;0.0
123;0206.22.00;--Fígados;0.0;0.0
124;0206.29;--Outras;;
125;0206.29.10;Rabos;0.0;0.0
126;0206.29.90;Outros;0.0;0.0
127;0206.30.00;- Da espécie suína, frescas ou refrigeradas;0.0;0.0
128;0206.4;- Da espécie suína, congeladas:;;
129;0206.41.00;--Fígados;0.0;0.0
130;0206.49.00;--Outras;0.0;0.0
131;0206.80.00;- Outras, frescas ou refrigeradas;0.0;0.0
132;0206.90.00;- Outras, congeladas;0.0;0.0
134;02.07;"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves daposição 01.05.";;
135;0207.1;- De aves da espécie Gallus domesticus:;;
136;0207.11.00;--Não cortadas em pedaços, frescas ou refrigeradas;0.0;0.0
137;0207.12.00;--Não cortadas em pedaços, congeladas;0.0;0.0
138;0207.13.00;--Pedaços e miudezas, frescos ou refrigerados;0.0;0.0
139;0207.14.00;--Pedaços e miudezas, congelados;0.0;0.0
140;0207.2;- De peruas e de perus:;;
141;0207.24.00;--Não cortadas em pedaços, frescas ou refrigeradas;0.0;0.0
142;0207.25.00;--Não cortadas em pedaços, congeladas;0.0;0.0
143;0207.26.00;--Pedaços e miudezas, frescos ou refrigerados;0.0;0.0
144;0207.27.00;--Pedaços e miudezas, congelados;0.0;0.0
145;0207.4;- De patos:;;
146;0207.41.00;--Não cortadas em pedaços, frescas ou refrigeradas;0.0;0.0
147;0207.42.00;--Não cortadas em pedaços, congeladas;0.0;0.0
148;0207.43.00;--Fígados gordos (foies gras), frescos ou refrigerados;0.0;0.0
149;0207.44.00;--Outras, frescas ou refrigeradas;0.0;0.0
150;0207.45.00;--Outras, congeladas;0.0;0.0
